number,study,Es_id,Type,site,Eutrophication,TN_mg_L,TP_mg_L,TN_TP,Chl.a_ug_L,TN_r1,TN_r2,TP_r1,TP_r2,TN_TP_r,Chl.a_r,T_C,SD_cm,DO,Data_Ioc,lnR
312,Ba17,17,Lake,Wuliangsuhai,Eutro,2.31,0.18,12.83,26,0.75,1.4,0.025,0.05,16,7,NA,98,NA,T2,0.693147181
313,Ba17,17,Lake,Wuliangsuhai,Eutro,2.3,0.16,14.38,20,0.75,1.4,0.025,0.05,16,7,NA,93,NA,T2,0.430782916
314,Ba17,17,Lake,Wuliangsuhai,Eutro,2.17,0.13,16.69,17,0.75,1.4,0.025,0.05,16,7,NA,120,NA,T2,0.268263987
315,Ba17,17,Lake,Wuliangsuhai,Eutro,2.14,0.09,23.78,19,0.75,1.4,0.025,0.05,16,7,NA,135,NA,T2,0.379489622
316,Ba17,17,Lake,Wuliangsuhai,Hyper,4.17,0.2,20.85,71,0.75,1.4,0.025,0.05,16,7,NA,65,NA,T2,1.69773052
317,Ba17,17,Lake,Wuliangsuhai,Hyper,4.35,0.17,25.59,67,0.75,1.4,0.025,0.05,16,7,NA,68,NA,T2,1.639743262
318,Ba17,17,Lake,Wuliangsuhai,Hyper,4.26,0.19,22.42,69,0.75,1.4,0.025,0.05,16,7,NA,62,NA,T2,1.669157147
319,Ba17,17,Lake,Wuliangsuhai,Hyper,3.54,0.18,19.67,62,0.75,1.4,0.025,0.05,16,7,NA,61,NA,T2,1.562185028
320,Ba17,17,Lake,Wuliangsuhai,Hyper,3.16,0.16,19.75,65,0.75,1.4,0.025,0.05,16,7,NA,67,NA,T2,1.609437912
321,Ba17,17,Lake,Wuliangsuhai,Hyper,2.38,0.13,18.31,58,0.75,1.4,0.025,0.05,16,7,NA,69,NA,T2,1.495493653
322,Ba17,17,Lake,Wuliangsuhai,Hyper,2.6,0.12,21.67,52,0.75,1.4,0.025,0.05,16,7,NA,76,NA,T2,1.386294361
323,Ba17,17,Lake,Wuliangsuhai,Hyper,2.47,0.14,17.64,60,0.75,1.4,0.025,0.05,16,7,NA,81,NA,T2,1.529395205
324,Ba17,17,Lake,Wuliangsuhai,Hyper,2.07,0.08,25.88,50,0.75,1.4,0.025,0.05,16,7,NA,94,NA,T2,1.347073648
325,Ba17,17,Lake,Wuliangsuhai,Hyper,1.73,0.07,24.71,40,0.75,1.4,0.025,0.05,16,7,NA,72,NA,T2,1.123930097
326,Ba17,17,Lake,Wuliangsuhai,Hyper,1.81,0.07,25.86,42,0.75,1.4,0.025,0.05,16,7,NA,85,NA,T2,1.172720261
327,Ba17,17,Lake,Wuliangsuhai,Hyper,1.76,0.07,25.14,34,0.75,1.4,0.025,0.05,16,7,NA,108,NA,T2,0.961411167
328,Ba17,17,Lake,Wuliangsuhai,Hyper,1.53,0.06,25.5,32,0.75,1.4,0.025,0.05,16,7,NA,131,NA,T2,0.900786545
329,Ba17,17,Lake,Wuliangsuhai,Eutro,1.58,0.04,39.5,24,0.75,1.4,0.025,0.05,16,7,NA,139,NA,T2,0.613104473
330,Ba17,17,Lake,Wuliangsuhai,Eutro,1.56,0.04,39,18,0.75,1.4,0.025,0.05,16,7,NA,152,NA,T2,0.3254224
331,Ba17,17,Lake,Wuliangsuhai,Eutro,1.53,0.04,38.25,13,0.75,1.4,0.025,0.05,16,7,NA,158,NA,T2,0
332,Ba17,17,Lake,Wuliangsuhai,Hyper,6.31,0.15,42.07,82,0.75,1.4,0.025,0.05,16,7,NA,72,NA,T2,1.84176989
333,Ba17,17,Lake,Wuliangsuhai,Hyper,6.35,0.15,42.33,71,0.75,1.4,0.025,0.05,16,7,NA,68,NA,T2,1.69773052
334,Ba17,17,Lake,Wuliangsuhai,Hyper,6.27,0.15,41.8,53,0.75,1.4,0.025,0.05,16,7,NA,65,NA,T2,1.405342556
335,Ba17,17,Lake,Wuliangsuhai,Hyper,3.92,0.16,24.5,56,0.75,1.4,0.025,0.05,16,7,NA,65,NA,T2,1.460402333
336,Ba17,17,Lake,Wuliangsuhai,Hyper,3.52,0.12,29.33,57,0.75,1.4,0.025,0.05,16,7,NA,71,NA,T2,1.47810191
337,Ba17,17,Lake,Wuliangsuhai,Hyper,2.81,0.12,23.42,51,0.75,1.4,0.025,0.05,16,7,NA,69,NA,T2,1.366876275
338,Ba17,17,Lake,Wuliangsuhai,Hyper,2.62,0.11,23.82,50,0.75,1.4,0.025,0.05,16,7,NA,81,NA,T2,1.347073648
339,Ba17,17,Lake,Wuliangsuhai,Hyper,2.59,0.1,25.9,54,0.75,1.4,0.025,0.05,16,7,NA,80,NA,T2,1.424034689
340,Ba17,17,Lake,Wuliangsuhai,Hyper,2.35,0.07,33.57,46,0.75,1.4,0.025,0.05,16,7,NA,95,NA,T2,1.263692039
341,Ba17,17,Lake,Wuliangsuhai,Hyper,2.31,0.07,33,43,0.75,1.4,0.025,0.05,16,7,NA,86,NA,T2,1.196250758
342,Ba17,17,Lake,Wuliangsuhai,Hyper,2.31,0.08,28.88,35,0.75,1.4,0.025,0.05,16,7,NA,80,NA,T2,0.990398704
343,Ba17,17,Lake,Wuliangsuhai,Hyper,2.28,0.06,38,36,0.75,1.4,0.025,0.05,16,7,NA,94,NA,T2,1.018569581
344,Ba17,17,Lake,Wuliangsuhai,Hyper,2.32,0.06,38.67,31,0.75,1.4,0.025,0.05,16,7,NA,125,NA,T2,0.869037847
345,Ba17,17,Lake,Wuliangsuhai,Eutro,2.19,0.04,54.75,20,0.75,1.4,0.025,0.05,16,7,NA,130,NA,T2,0.430782916
346,Ba17,17,Lake,Wuliangsuhai,Eutro,2.16,0.04,54,17,0.75,1.4,0.025,0.05,16,7,NA,130,NA,T2,0.268263987
347,Ba17,17,Lake,Wuliangsuhai,Eutro,2.17,0.03,72.33,17,0.75,1.4,0.025,0.05,16,7,NA,158,NA,T2,0.268263987
348,Feng18,18,Lake,Taihu Lake,Hyper,2.14,0.16,13.38,56.04,0.75,1.4,0.025,0.05,16,7,NA,20,NA,T1,2.396825182
349,Feng18,18,Lake,Taihu Lake,Hyper,3.51,0.33,10.64,56.05,0.75,1.4,0.025,0.05,16,7,NA,65,NA,T1,2.39700361
350,Feng18,18,Lake,Taihu Lake,Hyper,1.9,0.09,21.11,55.84,0.75,1.4,0.025,0.05,16,7,NA,30,NA,T1,2.393249919
351,Feng18,18,Lake,Taihu Lake,Hyper,2.13,0.09,23.67,56.05,0.75,1.4,0.025,0.05,16,7,NA,30,NA,T1,2.39700361
352,Feng18,18,Lake,Taihu Lake,Eutro,2.04,0.05,40.8,22,0.75,1.4,0.025,0.05,16,7,NA,15,NA,T1,1.461801914
353,Feng18,18,Lake,Taihu Lake,Oligo-meso,2.72,0.09,30.22,5.1,0.75,1.4,0.025,0.05,16,7,NA,15,NA,T1,0
354,Feng18,18,Lake,Taihu Lake,Eutro,2.2,0.12,18.33,9.9,0.75,1.4,0.025,0.05,16,7,NA,13,NA,T1,0.663294217
355,Feng18,18,Lake,Taihu Lake,Eutro,2.25,0.12,18.75,11.5,0.75,1.4,0.025,0.05,16,7,NA,13,NA,T1,0.813106496
356,Feng18,18,Lake,Taihu Lake,Hyper,1.78,0.05,35.6,55.96,0.75,1.4,0.025,0.05,16,7,NA,14,NA,T1,2.39539661
357,Feng18,18,Lake,Taihu Lake,Hyper,2.07,0.03,69,56.04,0.75,1.4,0.025,0.05,16,7,NA,15,NA,T1,2.396825182
358,Feng18,18,Lake,Chaohu Lake,Hyper,2.82,0.4,7.05,42.5,0.75,1.4,0.025,0.05,16,7,NA,10,NA,T1,2.120263536
359,Feng18,18,Lake,Chaohu Lake,Hyper,2.14,0.29,7.38,25.3,0.75,1.4,0.025,0.05,16,7,NA,13,NA,T1,1.601563856
360,Feng18,18,Lake,Chaohu Lake,Hyper,2.76,0.28,9.86,34.7,0.75,1.4,0.025,0.05,16,7,NA,13,NA,T1,1.917499147
361,Feng18,18,Lake,Chaohu Lake,Hyper,3.44,0.24,14.33,30.8,0.75,1.4,0.025,0.05,16,7,NA,14,NA,T1,1.79827415
362,Feng18,18,Lake,Chaohu Lake,Hyper,2.88,0.28,10.29,41.5,0.75,1.4,0.025,0.05,16,7,NA,17,NA,T1,2.096452888
363,Wu19,19,Lake,Lake Simeitang,Hyper,2.71525,0.627273,4.33,210,0.75,1.4,0.025,0.05,16,7,30.46,NA,NA,"F3,F5,F6,F9",1.098612289
364,Wu19,19,Lake,Lake Simeitang,Hyper,2.25417,0.540909,4.17,130,0.75,1.4,0.025,0.05,16,7,31.89,NA,NA,"F3,F5,F6,F9",0.619039208
365,Wu19,19,Lake,Lake Simeitang,Hyper,2.32265,0.518182,4.48,130,0.75,1.4,0.025,0.05,16,7,31.13,NA,NA,"F3,F5,F6,F9",0.619039208
366,Wu19,19,Lake,Lake Simeitang,Hyper,1.29295,0.418182,3.09,100,0.75,1.4,0.025,0.05,16,7,31.61,NA,NA,"F3,F5,F6,F9",0.356674944
367,Wu19,19,Lake,Lake Simeitang,Hyper,1.47922,0.372727,3.97,70,0.75,1.4,0.025,0.05,16,7,27.72,NA,NA,"F3,F5,F6,F9",0
368,Wu19,19,Lake,Lake Simeitang,Hyper,1.40167,0.231818,6.05,100,0.75,1.4,0.025,0.05,16,7,24.71,NA,NA,"F3,F5,F6,F9",0.356674944
369,Wu19,19,Lake,Lake Simeitang,Hyper,1.38133,0.209091,6.61,100,0.75,1.4,0.025,0.05,16,7,26.03,NA,NA,"F3,F5,F6,F9",0.356674944
370,Wu19,19,Lake,Lake Simeitang,Hyper,1.34021,0.186364,7.19,120,0.75,1.4,0.025,0.05,16,7,27.73,NA,NA,"F3,F5,F6,F9",0.538996501
371,Wu19,19,Lake,Lake Simeitang,Hyper,1.29119,0.168182,7.68,120,0.75,1.4,0.025,0.05,16,7,23.94,NA,NA,"F3,F5,F6,F9",0.538996501
372,Yan20,20,Lake,Cihu Lake,Eutro,4.74,0.12,39.5,14.86,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T3,0
373,Yan20,20,Lake,Cihu Lake,Hyper,5.68,0.31,18.32,83.46,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T3,1.725694436
374,Yan20,20,Lake,Cihu Lake,Hyper,5.25,0.24,21.88,73.7,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T3,1.60132976
375,Yan20,20,Lake,Cihu Lake,Eutro,2.42,0.2,12.1,18.89,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T3,0.239959642
376,Yan20,20,Lake,Cihu Lake,Eutro,1.05,0.16,6.56,27.01,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T3,0.597534129
377,Yan20,20,Lake,Cihu Lake,Eutro,1.26,0.13,9.69,25.82,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T3,0.552476346
378,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.173,0.005,34.6,2,0.75,1.4,0.025,0.05,16,7,NA,981,NA,T2,0.693147181
379,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.175,0.01,17.5,2.2,0.75,1.4,0.025,0.05,16,7,NA,1070,NA,T2,0.78845736
380,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.184,0.017,10.82,2.73,0.75,1.4,0.025,0.05,16,7,NA,1230,NA,T2,1.004301609
381,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.2,0.03,6.67,3.51,0.75,1.4,0.025,0.05,16,7,NA,1400,NA,T2,1.255616037
382,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.182,0.005,36.4,1,0.75,1.4,0.025,0.05,16,7,NA,40,NA,T3,0
383,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.37,0.01,37,2,0.75,1.4,0.025,0.05,16,7,NA,50,NA,T3,0.693147181
384,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.42,0.013,32.31,2.67,0.75,1.4,0.025,0.05,16,7,NA,54,NA,T3,0.982078472
385,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.52,0.018,28.89,4.65,0.75,1.4,0.025,0.05,16,7,NA,70,NA,T3,1.53686722
386,Huo21,21,Lake,Yungui plateau lake,Eutro,0.64,0.02,32,7.01,0.75,1.4,0.025,0.05,16,7,NA,100,NA,T3,1.947337701
387,Huo21,21,Lake,Yungui plateau lake,Eutro,0.89,0.024,37.08,11,0.75,1.4,0.025,0.05,16,7,NA,140,NA,T3,2.397895273
388,Huo21,21,Lake,Yungui plateau lake,Eutro,1.55,0.03,51.67,16,0.75,1.4,0.025,0.05,16,7,NA,190,NA,T3,2.772588722
389,Huo21,21,Lake,Yungui plateau lake,Eutro,1.83,0.032,57.19,18.7,0.75,1.4,0.025,0.05,16,7,NA,220,NA,T3,2.928523524
390,Huo21,21,Lake,Yungui plateau lake,Eutro,2.22,0.041,54.15,25.9,0.75,1.4,0.025,0.05,16,7,NA,400,NA,T3,3.254242969
391,Huo21,21,Lake,Yungui plateau lake,Hyper,3.06,0.057,53.68,39.2,0.75,1.4,0.025,0.05,16,7,NA,843,NA,T3,3.668676747
392,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.37,0.005,74,2,0.75,1.4,0.025,0.05,16,7,NA,180,NA,T4,0.693147181
393,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.39,0.012,32.5,2,0.75,1.4,0.025,0.05,16,7,NA,220,NA,T4,0.693147181
394,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.34,0.013,26.15,2,0.75,1.4,0.025,0.05,16,7,NA,250,NA,T4,0.693147181
395,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.37,0.01,37,2,0.75,1.4,0.025,0.05,16,7,NA,220,NA,T4,0.693147181
396,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.19,0.005,38,1.36,0.75,1.4,0.025,0.05,16,7,NA,320,NA,T5,0.3074847
397,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.21,0.01,21,1.59,0.75,1.4,0.025,0.05,16,7,NA,350,NA,T5,0.463734016
398,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.26,0.011,23.64,2,0.75,1.4,0.025,0.05,16,7,NA,400,NA,T5,0.693147181
399,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.3,0.012,25,2,0.75,1.4,0.025,0.05,16,7,NA,420,NA,T5,0.693147181
400,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.37,0.015,24.67,2.4,0.75,1.4,0.025,0.05,16,7,NA,550,NA,T5,0.875468737
401,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.4,0.017,23.53,3,0.75,1.4,0.025,0.05,16,7,NA,700,NA,T5,1.098612289
402,Huo21,21,Lake,Yungui plateau lake,Oligo-meso,0.45,0.019,23.68,4,0.75,1.4,0.025,0.05,16,7,NA,1050,NA,T5,1.386294361
403,Huo22,22,Lake,Eastern plain ecoregion lakes,Oligo-meso,0.36,0.014,25.71,1.78,0.75,1.4,0.025,0.05,16,7,NA,121,NA,T1,2.00372972
404,Huo22,22,Lake,Eastern plain ecoregion lakes,Oligo-meso,0.785,0.043,18.26,4.73,0.75,1.4,0.025,0.05,16,7,NA,68,NA,T1,2.981041558
405,Huo22,22,Lake,Eastern plain ecoregion lakes,Eutro,1.245,0.088,14.15,8.69,0.75,1.4,0.025,0.05,16,7,NA,50,NA,T1,3.589289295
406,Huo22,22,Lake,Eastern plain ecoregion lakes,Eutro,2.074,0.015,138.27,15.09,0.75,1.4,0.025,0.05,16,7,NA,41,NA,T1,4.141148628
407,Huo22,22,Lake,Eastern plain ecoregion lakes,Eutro,3.781,0.266,14.21,26.99,0.75,1.4,0.025,0.05,16,7,NA,28,NA,T1,4.722582783
408,Huo22,22,Lake,Chaohu Lake,Oligo-meso,0.63,0.029,21.72,0.67,0.75,1.4,0.025,0.05,16,7,NA,64,NA,T4,1.026638789
409,Huo22,22,Lake,dianchi Lake,Oligo-meso,0.79,0.052,15.19,2.33,0.75,1.4,0.025,0.05,16,7,NA,90,NA,T4,2.272984623
410,Huo22,22,Lake,Dongting Lake,Oligo-meso,0.69,0.022,31.36,0.24,0.75,1.4,0.025,0.05,16,7,NA,90,NA,T4,0
411,Huo22,22,Lake,Lake Hongze,Oligo-meso,0.56,0.046,12.17,2.4,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T4,2.302585093
412,Huo22,22,Lake,Poyang Lake,Oligo-meso,0.33,0.03,11,1,0.75,1.4,0.025,0.05,16,7,NA,110,NA,T4,1.427116356
413,Huo22,22,Lake,Taihu Lake,Oligo-meso,0.77,0.026,29.62,2,0.75,1.4,0.025,0.05,16,7,NA,50,NA,T4,2.120263536
414,Peng23,23,Lake,South Lake Changchun,Eutro,3.33,0.171,19.47,25.01,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,2.988164024
415,Peng23,23,Lake,South Lake Changchun,Hyper,2.9,0.137,21.17,47.73,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,3.63444841
416,Peng23,23,Lake,South Lake Changchun,Oligo-meso,1.1,0.069,15.94,3.89,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,1.127297437
417,Peng23,23,Lake,South Lake Changchun,Oligo-meso,1.8,0.098,18.37,5.59,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,1.489867566
418,Peng23,23,Lake,South Lake Changchun,Oligo-meso,0.88,0.042,20.95,1.26,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,0
419,Peng23,23,Lake,South Lake Changchun,Oligo-meso,2.14,0.087,24.6,3.04,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,0.880745794
420,Peng23,23,Lake,South Lake Changchun,Eutro,2.37,0.105,22.57,22.21,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,2.869430917
421,Peng23,23,Lake,South Lake Changchun,Eutro,1.83,0.107,17.1,20.1,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,2.769608094
422,Peng23,23,Lake,South Lake Changchun,Eutro,2.8,0.137,20.44,24.25,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,2.957304896
423,Peng23,23,Lake,South Lake Changchun,Oligo-meso,1.68,0.04,42,1.4,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,0.105360516
424,Peng23,23,Lake,South Lake Changchun,Oligo-meso,1.29,0.071,18.17,2.6,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,T2,0.724399724
425,Tong24,24,Lake,Taihu Lake,Eutro,1.92,0.06,32,12,0.75,1.4,0.025,0.05,16,7,NA,30,NA,T1,0.25489225
426,Tong24,24,Lake,dianchi Lake,Hyper,2.23,0.144,15.49,63,0.75,1.4,0.025,0.05,16,7,NA,43,NA,T1,1.913120326
427,Tong24,24,Lake,Chaohu Lake,Eutro,1.52,0.094,16.17,9.3,0.75,1.4,0.025,0.05,16,7,NA,35,NA,T1,0
428,Liu25,25,Lake,Wanfeng Lake,Eutro,2.16,0.18,12,9.23,0.75,1.4,0.025,0.05,16,7,NA,417,NA,T3,0.10019751
429,Liu25,25,Lake,Wanfeng Lake,Eutro,2.3,0.16,14.38,10.99,0.75,1.4,0.025,0.05,16,7,NA,395,NA,T3,0.27472423
430,Liu25,25,Lake,Wanfeng Lake,Eutro,2,0.16,12.5,11.82,0.75,1.4,0.025,0.05,16,7,NA,346,NA,T3,0.347531473
431,Liu25,25,Lake,Wanfeng Lake,Eutro,2.71,0.39,6.95,8.35,0.75,1.4,0.025,0.05,16,7,NA,293,NA,T3,0
432,Liu25,25,Lake,Wanfeng Lake,Eutro,2.76,0.33,8.36,12,0.75,1.4,0.025,0.05,16,7,NA,300,NA,T3,0.362645111
433,Liu25,25,Lake,Wanfeng Lake,Eutro,2.72,0.28,9.71,10.34,0.75,1.4,0.025,0.05,16,7,NA,2.58,NA,T3,0.21375833
434,Liu25,25,Lake,Wanfeng Lake,Eutro,2.73,0.3,9.1,16.75,0.75,1.4,0.025,0.05,16,7,NA,207,NA,T3,0.696136719
435,Liu25,25,Lake,Wanfeng Lake,Eutro,2.48,0.26,9.54,11.35,0.75,1.4,0.025,0.05,16,7,NA,317,NA,T3,0.306956205
436,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.904255,0.03093,29.24,4.28829,0.75,1.4,0.025,0.05,16,7,NA,13,NA,"F3,F4",0
437,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.712766,0.063093,11.3,5.04505,0.75,1.4,0.025,0.05,16,7,NA,11,NA,"F3,F4",0.162519512
438,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.670213,0.0426132,15.73,5.47748,0.75,1.4,0.025,0.05,16,7,NA,11,NA,"F3,F4",0.244757089
439,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.840426,0.0856714,9.81,5.98198,0.75,1.4,0.025,0.05,16,7,NA,21,NA,"F3,F4",0.332863565
440,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.648936,0.0258724,25.08,4.9009,0.75,1.4,0.025,0.05,16,7,NA,15,NA,"F3,F4",0.13353081
441,Wang26,26,Lake,Chaohu Lake,Eutro,1.09574,0.0781372,14.02,8.25225,0.75,1.4,0.025,0.05,16,7,NA,12,NA,"F3,F4",0.654597838
442,Wang26,26,Lake,Chaohu Lake,Eutro,1.37234,0.147955,9.28,10.955,0.75,1.4,0.025,0.05,16,7,NA,13,NA,"F3,F4",0.937907921
443,Wang26,26,Lake,Chaohu Lake,Eutro,1.43617,0.114095,12.59,9.98198,0.75,1.4,0.025,0.05,16,7,NA,17,NA,"F3,F4",0.844893415
444,Wang26,26,Lake,Chaohu Lake,Oligo-meso,1.2766,0.070193,18.19,5.83784,0.75,1.4,0.025,0.05,16,7,NA,31,NA,"F3,F4",0.308472813
445,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.37234,0.0371697,10.02,5.36937,0.75,1.4,0.025,0.05,16,7,NA,21,NA,"F3,F4",0.224822531
446,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.148936,0.0225034,6.62,4.61261,0.75,1.4,0.025,0.05,16,7,NA,19,NA,"F3,F4",0.072905805
447,Wang26,26,Lake,Chaohu Lake,Oligo-meso,0.212766,0.0187483,11.35,4.86486,0.75,1.4,0.025,0.05,16,7,NA,20,NA,"F3,F4",0.126149886
448,Qiu27,27,Lake,Shahu Lake,Eutro,1.4,0.206,6.8,7.54,0.75,1.4,0.025,0.05,16,7,NA,59,NA,T1,0.348748879
449,Qiu27,27,Lake,Shahu Lake,Eutro,1.85,0.253,7.31,18.6,0.75,1.4,0.025,0.05,16,7,NA,37,NA,T1,1.251688277
450,Qiu27,27,Lake,Shahu Lake,Eutro,1.38,0.188,7.34,8.78,0.75,1.4,0.025,0.05,16,7,NA,42,NA,T1,0.501003104
451,Qiu27,27,Lake,Shahu Lake,Oligo-meso,1.17,0.15,7.8,5.32,0.75,1.4,0.025,0.05,16,7,NA,73,NA,T1,0
452,Zhang28,28,Lake,Wuli Lake,Hyper,3.98,0.175,22.74,32.88,0.75,1.4,0.025,0.05,16,7,NA,44,NA,T1,0.499134299
453,Zhang28,28,Lake,Wuli Lake,Eutro,3.51,0.185,18.97,26.89,0.75,1.4,0.025,0.05,16,7,NA,35,NA,T1,0.298024199
454,Zhang28,28,Lake,Wuli Lake,Hyper,7.15,0.209,34.21,32.42,0.75,1.4,0.025,0.05,16,7,NA,58,NA,T1,0.485045245
455,Zhang28,28,Lake,Wuli Lake,Hyper,6.92,0.222,31.17,33.77,0.75,1.4,0.025,0.05,16,7,NA,45,NA,T1,0.525842564
456,Zhang28,28,Lake,Wuli Lake,Eutro,5.29,0.119,44.45,19.96,0.75,1.4,0.025,0.05,16,7,NA,55,NA,T1,0
457,Zhang28,28,Lake,Wuli Lake,Eutro,6.59,0.249,26.47,26.54,0.75,1.4,0.025,0.05,16,7,NA,47,NA,T1,0.284922758
458,Chen29,29,Lake,Weishan Lake,Eutro,1.02,0.106,9.62,9.28,0.75,1.4,0.025,0.05,16,7,NA,60,NA,T1,1.093238821
459,Chen29,29,Lake,Weishan Lake,Eutro,1.29,0.035,36.86,10.54,0.75,1.4,0.025,0.05,16,7,NA,40,NA,T1,1.220554817
460,Chen29,29,Lake,Weishan Lake,Eutro,0.96,0.03,32,7.36,0.75,1.4,0.025,0.05,16,7,NA,35,NA,T1,0.861437207
461,Chen29,29,Lake,Weishan Lake,Eutro,0.98,0.039,25.13,7.37,0.75,1.4,0.025,0.05,16,7,NA,33,NA,T1,0.86279498
462,Chen29,29,Lake,Weishan Lake,Eutro,1.04,0.051,20.39,7.48,0.75,1.4,0.025,0.05,16,7,NA,40,NA,T1,0.877610066
463,Chen29,29,Lake,Weishan Lake,Oligo-meso,0.76,0.019,40,3.11,0.75,1.4,0.025,0.05,16,7,NA,76,NA,T1,0
464,Chen29,29,Lake,Weishan Lake,Oligo-meso,0.72,0.037,19.46,4.7,0.75,1.4,0.025,0.05,16,7,NA,110,NA,T1,0.412939783
465,Chen29,29,Lake,Weishan Lake,Oligo-meso,0.87,0.03,29,4.97,0.75,1.4,0.025,0.05,16,7,NA,100,NA,T1,0.468797114
466,Chen29,29,Lake,Weishan Lake,Oligo-meso,0.9,0.019,47.37,3.82,0.75,1.4,0.025,0.05,16,7,NA,100,NA,T1,0.205627696
467,Chen29,29,Lake,Weishan Lake,Oligo-meso,0.86,0.022,39.09,4.42,0.75,1.4,0.025,0.05,16,7,NA,130,NA,T1,0.35151697
468,Wang30,30,Lake,Taihu Lake,Hyper,3.89,0.204,19.07,58.1,0.75,1.4,0.025,0.05,16,7,18.1,31.6,6.5,T1,1.188601024
469,Wang30,30,Lake,Taihu Lake,Hyper,4.16,0.194,21.44,58.8,0.75,1.4,0.025,0.05,16,7,18,33.5,6,T1,1.200577215
470,Wang30,30,Lake,Taihu Lake,Hyper,4.19,0.153,27.39,47.4,0.75,1.4,0.025,0.05,16,7,18.3,36.4,8.6,T1,0.985057589
471,Wang30,30,Lake,Taihu Lake,Hyper,4.31,0.152,28.36,39.4,0.75,1.4,0.025,0.05,16,7,18.4,36.8,7.4,T1,0.800201177
472,Wang30,30,Lake,Taihu Lake,Eutro,4.84,0.109,44.4,26.2,0.75,1.4,0.025,0.05,16,7,18.3,38.7,7.5,T1,0.392194771
473,Wang30,30,Lake,Taihu Lake,Eutro,5.55,0.149,37.25,17.7,0.75,1.4,0.025,0.05,16,7,6.9,42.8,9.4,T2,0
474,Wang30,30,Lake,Taihu Lake,Hyper,5.05,0.163,30.98,48.1,0.75,1.4,0.025,0.05,16,7,20.8,38.3,7.2,T2,0.999717538
475,Wang30,30,Lake,Taihu Lake,Hyper,2.77,0.191,14.5,82.7,0.75,1.4,0.025,0.05,16,7,29.2,29,6.1,T2,1.541654962
476,Wang30,30,Lake,Taihu Lake,Hyper,3.75,0.145,25.86,35.3,0.75,1.4,0.025,0.05,16,7,16.5,30.9,6.8,T2,0.690318324
477,Liang31,31,lake,dianchi Lake,Hyper,2.08,0.15,13.87,84,0.75,1.4,0.025,0.05,16,7,21.8,43,NA,ST1,0.168136922
478,Liang31,31,lake,dianchi Lake,Hyper,1.96,0.14,14,71,0.75,1.4,0.025,0.05,16,7,21.8,43,NA,ST1,0
479,Liu32,32,Lake,Qilu Lake,Eutro,2.42,0.04,60.5,28.15,0.75,1.4,0.025,0.05,16,7,17.84,84.17,7.97,T1,0
480,Zheng33,33,Lake,Qingjing Lake,Eutro,2.99,0.05,59.8,18.46,0.75,1.4,0.025,0.05,16,7,NA,26.67,NA,T1,0.160036512
481,Zheng33,33,Lake,Qingjing Lake,Eutro,1.03,0.06,17.17,15.73,0.75,1.4,0.025,0.05,16,7,NA,31.67,NA,T1,0
